epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,5850.86,0.39666,0.29869,0.83129,0.94106,0.7123,0.79006,0.66597,0.49073,0.43682,0.86741,5.80042e-05,5.80042e-05,5.80042e-05
128,5899.76,0.40103,0.30328,0.83644,0.9396,0.70706,0.79071,0.66378,0.48583,0.41442,0.86557,5.76709e-05,5.76709e-05,5.76709e-05
129,5943.38,0.40181,0.3009,0.82942,0.94331,0.70145,0.78986,0.66469,0.48053,0.40839,0.86225,5.73376e-05,5.73376e-05,5.73376e-05
130,5986.72,0.39441,0.29678,0.82911,0.94603,0.70402,0.7926,0.66426,0.49063,0.41793,0.86526,5.70043e-05,5.70043e-05,5.70043e-05
131,6030.16,0.39294,0.29268,0.82667,0.92912,0.7076,0.79276,0.6671,0.48365,0.41176,0.86276,5.6671e-05,5.6671e-05,5.6671e-05
132,6073.53,0.39355,0.2959,0.83345,0.94384,0.70532,0.79452,0.66533,0.48449,0.42014,0.85991,5.63377e-05,5.63377e-05,5.63377e-05
133,6116.99,0.39938,0.29859,0.83373,0.9165,0.71899,0.79166,0.66311,0.49305,0.41836,0.86353,5.60044e-05,5.60044e-05,5.60044e-05
134,6160.32,0.39826,0.30238,0.83066,0.93047,0.71273,0.78897,0.66325,0.49302,0.42751,0.86538,5.56711e-05,5.56711e-05,5.56711e-05
135,6203.94,0.3885,0.29514,0.82834,0.94785,0.69657,0.7944,0.66928,0.4816,0.4159,0.85664,5.53378e-05,5.53378e-05,5.53378e-05
136,6247.44,0.38963,0.29428,0.82342,0.93104,0.72093,0.79619,0.66852,0.48525,0.41853,0.86381,5.50045e-05,5.50045e-05,5.50045e-05
137,6290.61,0.39109,0.29102,0.82804,0.93669,0.70931,0.79454,0.67055,0.48432,0.41506,0.86048,5.46712e-05,5.46712e-05,5.46712e-05
138,6334.39,0.40324,0.30412,0.83429,0.92813,0.7192,0.79712,0.67008,0.47731,0.40494,0.85431,5.43379e-05,5.43379e-05,5.43379e-05
139,6377.66,0.39424,0.29273,0.8317,0.93759,0.70542,0.79498,0.66697,0.48717,0.4062,0.85826,5.40046e-05,5.40046e-05,5.40046e-05
140,6421.14,0.39532,0.28971,0.82458,0.93628,0.7043,0.79379,0.66376,0.48747,0.4127,0.85703,5.36713e-05,5.36713e-05,5.36713e-05
141,6465.14,0.39533,0.29547,0.8256,0.91293,0.71743,0.79712,0.66838,0.48694,0.40877,0.85884,5.3338e-05,5.3338e-05,5.3338e-05
142,6509.07,0.38636,0.2918,0.83071,0.93947,0.70526,0.80014,0.67759,0.47211,0.40564,0.85153,5.30047e-05,5.30047e-05,5.30047e-05
143,6553.45,0.38691,0.29296,0.82572,0.91941,0.71362,0.79207,0.66795,0.47827,0.41006,0.85952,5.26714e-05,5.26714e-05,5.26714e-05
144,6598.16,0.3977,0.29323,0.83034,0.89743,0.73221,0.7923,0.66696,0.48293,0.41823,0.8625,5.23381e-05,5.23381e-05,5.23381e-05
145,6642.9,0.39797,0.29581,0.83411,0.92946,0.70056,0.79443,0.67056,0.47606,0.39933,0.85893,5.20048e-05,5.20048e-05,5.20048e-05
